date,indicator_id,region,value,source_url
2016-03-31,edinet-kepco-net-income,JP,140800,https://api.edinet-fsa.go.jp/api/v2/documents/S1007ZVB?type=5
2017-03-31,edinet-kepco-net-income,JP,140789,https://api.edinet-fsa.go.jp/api/v2/documents/S100AO9E?type=5
2018-03-31,edinet-kepco-net-income,JP,151880,https://api.edinet-fsa.go.jp/api/v2/documents/S100DCR7?type=5
2019-03-31,edinet-kepco-net-income,JP,115077,https://api.edinet-fsa.go.jp/api/v2/documents/S100G17T?type=5
2020-03-31,edinet-kepco-net-income,JP,130002,https://api.edinet-fsa.go.jp/api/v2/documents/S100IRRA?type=5
2021-03-31,edinet-kepco-net-income,JP,108978,https://api.edinet-fsa.go.jp/api/v2/documents/S100LKRF?type=5
2022-03-31,edinet-kepco-net-income,JP,85835,https://api.edinet-fsa.go.jp/api/v2/documents/S100OJ76?type=5
2023-03-31,edinet-kepco-net-income,JP,17679,https://api.edinet-fsa.go.jp/api/v2/documents/S100R4SI?type=5
2024-03-31,edinet-kepco-net-income,JP,441870,https://api.edinet-fsa.go.jp/api/v2/documents/S100TUNQ?type=5
2025-03-31,edinet-kepco-net-income,JP,420364,https://api.edinet-fsa.go.jp/api/v2/documents/S100W38I?type=5
2026-03-31,edinet-kepco-net-income,JP,380051,https://api.edinet-fsa.go.jp/api/v2/documents/S100YFXZ?type=5
